,Close_^DJI,Close_^FCHI,Close_^FTSE,Close_^GDAXI,Close_^GSPTSE,Close_^HSI,Close_^IXIC,Close_^N225,Volume_^DJI,Volume_^FCHI,Volume_^FTSE,Volume_^GDAXI,Volume_^GSPTSE,Volume_^HSI,Volume_^IXIC,Volume_^N225,SP500_Open,SP500_Close,SP500_Volume,SP500_Wk_Vol,MORTGAGE30US,FF,WGS10YR,WAAA,WTB3MS,ICSA,WGS1YR,WGS2YR,NFCI,WTREGEN,WGS5YR,WBAA,DPSACBW027SBOG,WCOILWTICO,WGS30YR,WRESBAL,WGS20YR,MORTGAGE15US,WPRIME,CCSA,TOTCI
1992-11-09,3240.89990234375,1786.699951171875,2695.39990234375,1508.6300048828125,3293.800048828125,6267.89990234375,622.0499877929688,16417.05078125,19980000.0,0.0,0.0,0.0,334400.0,0.0,245430000.0,0.0,417.5799865722656,418.5899963378906,197560000.0,7.230010986328125,8.29,3.07,6.9,8.11,3.03,374000.0,3.58,4.44,-0.6612,5.622,5.96,9.02,2504.521,20.52,7.69,24.713,7.36,7.75,6.0,3017000.0,596.1218
1992-11-16,3205.699951171875,1772.699951171875,2679.60009765625,1542.47998046875,3236.39990234375,6294.7998046875,634.010009765625,16162.990234375,17400000.0,0.0,0.0,0.0,287700.0,0.0,188080000.0,0.0,422.44000244140625,420.67999267578125,173600000.0,6.30999755859375,8.32,2.91,6.88,8.14,3.08,377000.0,3.64,4.51,-0.66909,5.25,6.0,9.0,2508.5898,20.37,7.64,26.364,7.36,7.79,6.0,2962000.0,596.8441
1992-11-23,3223.0,1674.800048828125,2722.89990234375,1523.6199951171875,3258.300048828125,5895.0,638.8400268554688,17033.599609375,23660000.0,0.0,0.0,0.0,323100.0,0.0,208140000.0,0.0,426.6499938964844,425.1199951171875,192530000.0,8.670013427734375,8.32,2.97,6.84,8.07,3.16,357000.0,3.73,4.64,-0.68896,5.184,6.05,8.91,2477.3655,20.35,7.54,25.285,7.36,7.83,6.0,2906000.0,595.8156
1992-11-30,3305.199951171875,1771.4000244140625,2778.800048828125,1545.1199951171875,3282.800048828125,5810.60009765625,652.72998046875,17683.650390625,23060000.0,0.0,0.0,0.0,326000.0,0.0,217800000.0,0.0,430.19000244140625,431.3500061035156,230150000.0,11.100006103515625,8.29,3.1,6.86,8.06,3.24,341000.0,3.76,4.69,-0.72007,5.787,6.12,8.91,2513.0449,20.16,7.56,26.169,7.36,7.81,6.0,2911000.0,597.9242
1992-12-07,3307.300048828125,1788.5999755859375,2754.5,1519.47998046875,3293.10009765625,5191.7998046875,666.530029296875,17207.119140625,25690000.0,0.0,0.0,0.0,376000.0,0.0,226270000.0,0.0,432.05999755859375,435.30999755859375,217700000.0,6.70001220703125,8.34,3.37,6.91,8.06,3.3,350000.0,3.82,4.78,-0.76016,5.602,6.2,8.92,2496.4284,19.38,7.56,24.786,7.36,7.87,6.0,2918000.0,597.5838
1992-12-14,3292.199951171875,1738.300048828125,2721.800048828125,1478.0699462890625,3262.0,5267.7001953125,654.72998046875,17289.970703125,16700000.0,0.0,0.0,0.0,370400.0,0.0,194500000.0,0.0,433.7300109863281,432.8399963378906,187040000.0,7.25,8.23,2.94,6.77,8.0,3.24,359000.0,3.72,4.65,-0.80505,5.076,6.04,8.82,2499.1962,19.01,7.44,24.286,7.36,7.77,6.0,2807000.0,597.0121
1992-12-21,3312.5,1786.300048828125,2807.699951171875,1517.449951171875,3310.39990234375,5242.5,662.4600219726562,17645.439453125,26680000.0,0.0,0.0,0.0,420800.0,0.0,202910000.0,0.0,441.260009765625,440.70001220703125,224680000.0,10.410003662109375,8.19,2.93,6.79,7.99,3.21,334000.0,3.76,4.72,-0.84841,5.002,6.1,8.82,2497.3941,19.38,7.44,25.369,7.36,7.74,6.0,2770000.0,597.191
1992-12-28,3333.260009765625,1857.5,2827.5,1547.510009765625,3319.89990234375,5531.7001953125,666.25,17188.619140625,13930000.0,0.0,0.0,0.0,160100.0,0.0,144070000.0,0.0,439.7699890136719,439.1499938964844,143970000.0,10.760009765625,8.13,2.94,6.68,7.93,3.18,313000.0,3.64,4.63,-0.88718,7.764,6.03,8.75,2512.5768,19.91,7.36,25.063,7.36,7.65,6.0,2800000.0,595.612
1993-01-04,3309.199951171875,1843.0999755859375,2861.5,1538.0400390625,3351.0,5437.7998046875,671.7999877929688,16994.080078125,21400000.0,0.0,0.0,0.0,309400.0,0.0,188870000.0,0.0,435.70001220703125,435.3800048828125,201210000.0,10.760009765625,8.14,2.86,6.7,7.9,3.15,341000.0,3.62,4.59,-0.91748,6.32,6.03,8.75,2481.8112,19.63,7.39,26.519,7.36,7.68,6.0,2729000.0,595.7721
1993-01-11,3262.75,1814.5999755859375,2773.39990234375,1522.260009765625,3310.199951171875,5673.10009765625,682.4000244140625,16589.55078125,24500000.0,0.0,0.0,0.0,449400.0,0.0,195740000.0,0.0,429.0400085449219,430.95001220703125,217150000.0,12.709991455078125,8.07,3.03,6.67,7.92,3.09,354000.0,3.6,4.52,-0.93817,8.36,5.95,8.74,2490.7592,19.0,7.38,26.624,7.36,7.6,6.0,2697000.0,595.1644
